year,tile,image_id,status

2023,227073,LC82270732023264LGN00,fail
2023,227073,LC82270732023200LGN00,fail
2023,227073,LC82270732023216LGN00,fail
2023,227073,LE72260732023016ASN00,fail
2023,227073,LC92270732023240LGN00,fail
2023,227073,LE72270732023055ASN00,fail
2023,227073,LE72270732023187ASN00,fail
2023,227073,LC92270732023336LGN00,fail
2023,227073,LC92270732023128LGN00,fail
2023,227073,LC82270732023152LGN00,fail
2023,227073,LC92270732023192LGN00,fail
2023,227073,LE72270732023263ASN00,fail
2023,227073,LE72270732023290ASN00,fail
2023,227073,LC82270732023040LGN00,fail
2023,227073,LC92270732023064LGN00,fail
2023,227073,LC82270732023312LGN00,fail
2023,227073,LC92270732023112LGN00,fail
2023,227073,LC82270732023008LGN00,fail
2023,227073,LC82270732023344LGN00,fail
2023,227073,LE72270732023160ASN00,fail
2023,227073,LE72270732023094ASN00,fail
2023,227073,LC82270732023168LGN00,fail
2023,227073,LC92270732023160LGN00,fail
2023,227073,LC92270732023224LGN00,fail
2023,227073,LE72280732023214ASN00,fail
2023,227073,LE72270732023116ASN00,fail
2023,227073,LE72270732023099ASN00,fail
2023,227073,LE72260732023182ASN00,fail
2023,227073,LC82270732023136LGN00,fail
2023,227073,LC92270732023144LGN00,fail
2023,227073,LC92270732023272LGN00,fail
2023,227073,LC92270732023288LGN00,fail
2023,227073,LC92270732023352LGN00,fail
2023,227073,LE72270732023317ASN00,fail
2023,227073,LC82270732023280LGN00,fail
2023,227073,LC82270732023056LGN00,fail
2023,227073,LC82270732023232LGN00,fail
2023,227073,LC92270732023304LGN00,fail
2023,227073,LC82270732023024LGN00,fail
2023,227073,LC82270732023296LGN00,fail
2023,227073,LE72270732023258ASN00,fail
2023,227073,LC82270732023088LGN00,fail
2023,227073,LC92270732023176LGN00,fail
2023,227073,LE72270732023143ASN00,fail
2023,227073,LE72270732023138ASN00,fail
2023,227073,LC92270732023016LGN01,fail
2023,227073,LE72270732023344ASN00,fail
2023,227073,LC92270732023320LGN00,fail
2023,227073,LE72280732023060ASN00,fail
2023,227073,LC82270732023360LGN00,fail
2023,227073,LC82270732023120LGN00,fail
2023,227073,LC82270732023248LGN00,fail
2023,227073,LC92270732023208LGN00,fail
2023,227073,LC82270732023184LGN00,fail
2023,227073,LE72270732023121ASN00,fail
2023,227073,LE72270732023349ASN00,fail
2023,227073,LE72270732023236EDC00,fail
2023,227073,LE72270732023285ASN00,fail
2023,225073,LC92250732023274LGN00,fail
2023,225073,LC82250732023330LGN00,fail
2023,225073,LC92250732023338LGN00,fail
2023,225073,LC92250732023066LGN00,fail
2023,225073,LE72250732023145ASN00,fail
2023,225073,LC92250732023034LGN01,fail
2023,225073,LC92250732023162LGN00,fail
2023,225073,LC82250732023186LGN00,fail
2023,225073,LC92250732023050LGN01,fail
2023,225073,LC82250732023074LGN00,fail
2023,225073,LE72250732023123ASN00,fail
2023,225073,LE72250732023062ASN00,fail
2023,225073,LC92250732023354LGN00,fail
2023,225073,LC82250732023154LGN00,fail
2023,225073,LE72250732023216ASN00,fail
2023,225073,LE72250732023270ASN00,fail
2023,225073,LC92250732023210LGN00,fail
2023,225073,LE72250732023361ASN00,fail
2023,225073,LC92250732023082LGN00,fail
2023,225073,LC92250732023322LGN00,fail
2023,225073,LE72250732023356ASN01,fail
2023,225073,LC82250732023138LGN00,fail
2023,225073,LE72250732023106ASN00,fail
2023,225073,LE72250732023297ASN00,fail
2023,225073,LE72260732023275ASN00,fail
2023,225073,LC82250732023010LGN00,fail
2023,225073,LE72250732023243ASN00,fail
2023,225073,LC82250732023170LGN00,fail
2023,225073,LC82250732023234LGN00,fail
2023,225073,LE72250732023023ASN00,fail
2023,225073,LC82250732023282LGN00,fail
2023,225073,LE72250732023028ASN00,fail
2023,225073,LC82250732023250LGN00,fail
2023,225073,LC92250732023018LGN01,fail
2023,225073,LC82250732023362LGN00,fail
2023,225073,LC92250732023242LGN00,fail
2023,225073,LC92250732023178LGN00,fail
2023,225073,LC82250732023266LGN00,fail
2023,225073,LE72260732023199ASN00,fail
2023,225073,LC82250732023106LGN00,fail
2023,225073,LC92250732023130LGN00,fail
2023,225073,LC92250732023290LGN00,fail
2023,225073,LE72250732023006ASN00,fail
2023,225073,LE72250732023221ASN00,fail
2023,225073,LE72260732023011ASN00,fail
2023,225073,LC82250732023202LGN00,fail
2023,225073,LC82250732023090LGN00,fail
2023,225073,LC82250732023298LGN00,fail
2023,225073,LC92250732023002LGN01,fail
2023,225073,LC82250732023122LGN00,fail
2023,225073,LE72250732023329ASN00,fail
2023,225073,LE72250732023128ASN00,fail
2023,225073,LE72260732023248ASN00,fail
2023,225073,LC82250732023042LGN00,fail
2023,225073,LC82250732023058LGN00,fail
2023,225073,LC82250732023314LGN00,fail
2023,225073,LC92250732023226LGN00,fail
2023,225073,LC82250732023346LGN00,fail
2023,225073,LC92250732023146LGN00,fail
2023,225073,LC82250732023218LGN00,fail
2023,225073,LC92250732023194LGN00,fail
2023,225073,LE72250732023194ASN00,fail
2023,225073,LE72260732023067ASN00,fail
2023,225073,LC92250732023114LGN00,fail
2023,225073,LC92250732023258LGN00,fail
2023,225073,LC92250732023306LGN00,fail
2023,225073,LE72250732023084ASN00,fail
2023,225073,LE72250732023172ASN00,fail
2023,230069,LE72300692023058ASN00,fail
2023,230069,LE72300692023234EDC00,fail
2023,230069,LE72300692023283ASN00,fail
2023,230069,LE72300692023141EDC00,fail
2023,230069,LC92300692023261LGN00,fail
2023,230069,LE72300692023347ASN00,fail
2023,230069,LE72300692023288EDC00,fail
2023,230069,LC92300692023309LGN00,fail
2023,230069,LE72300692023163SG100,fail
2023,230069,LC82300692023301LGN00,fail
2023,230069,LE72300692023019ASN00,fail
2023,230069,LE72300692023342ASN00,fail
2023,230069,LE72310692023212EDC00,fail
2023,230069,LC82300692023061LGN00,fail
2023,230069,LE72300692023097EDC01,fail
2023,230069,LC92300692023325LGN00,fail
2023,230069,LC92300692023101LGN00,fail
2023,230069,LE72300692023185EDC00,fail
2023,230069,LC82300692023013LGN00,fail
2023,230069,LE72300692023036ASN00,fail
2023,230069,LE72300692023119EDC00,fail
2023,230069,LE72300692023261EDC00,fail
2023,224073,LC82240732023067LGN00,fail
2023,224073,LC82240732023291LGN00,fail
2023,224073,LC92240732023155LGN00,fail
2023,224073,LC92240732023043LGN01,fail
2023,224073,LE72240732023040ASN00,fail
2023,224073,LE72250732023145ASN00,fail
2023,224073,LC92240732023203LGN00,fail
2023,224073,LC82240732023083LGN00,fail
2023,224073,LE72240732023314ASN00,fail
2023,224073,LC82240732023259LGN00,fail
2023,224073,LC92240732023331LGN00,fail
2023,224073,LE72250732023123ASN00,fail
2023,224073,LE72240732023265ASN00,fail
2023,224073,LE72240732023001ASN00,fail
2023,224073,LC92240732023107LGN00,fail
2023,224073,LE72240732023260ASN00,fail
2023,224073,LC82240732023147LGN00,fail
2023,224073,LE72250732023216ASN00,fail
2023,224073,LE72240732023211ASN00,fail
2023,224073,LC92240732023027LGN01,fail
2023,224073,LC82240732023243LGN00,fail
2023,224073,LE72240732023287ASN00,fail
2023,224073,LC92240732023251LGN00,fail
2023,224073,LC82240732023195LGN00,fail
2023,224073,LE72250732023023ASN00,fail
2023,224073,LC82240732023131LGN00,fail
2023,224073,LC92240732023363LGN00,fail
2023,224073,LC92240732023283LGN00,fail
2023,224073,LC92240732023011LGN01,fail
2023,224073,LC82240732023227LGN00,fail
2023,224073,LC92240732023235LGN00,fail
2023,224073,LC82240732023115LGN00,fail
2023,224073,LC92240732023139LGN00,fail
2023,224073,LE72240732023233ASN00,fail
2023,224073,LE72240732023162ASN00,fail
2023,224073,LC82240732023211LGN00,fail
2023,224073,LC92240732023315LGN00,fail
2023,224073,LC82240732023275LGN01,fail
2023,224073,LC92240732023075LGN00,fail
2023,224073,LE72240732023118ASN00,fail
2023,224073,LE72240732023184ASN00,fail
2023,224073,LC82240732023035LGN00,fail
2023,224073,LC82240732023307LGN00,fail
2023,224073,LE72240732023351ASN00,fail
2023,224073,LE72240732023319ASN00,fail
2023,224073,LE72240732023096ASN00,fail
2023,224073,LC82240732023099LGN00,fail
2023,224073,LC82240732023323LGN00,fail
2023,224073,LC82240732023163LGN00,fail
2023,224073,LC82240732023019LGN00,fail
2023,224073,LC92240732023347LGN00,fail
2023,224073,LC82240732023179LGN00,fail
2023,224073,LC92240732023171LGN00,fail
2023,224073,LC92240732023187LGN00,fail
